word,layer_1,layer_2
Hollywood,0.005,0.004
actor,0.014,0.013
attempted,0.004,0.013
observer,0.003,0.015
affiliated,0.014,0.016
Cancer,0.143,0.179
panic,0.042,0.042
premiums,0.029,0.028
commitment,0.096,0.202
discussion,0.026,0.024
technique,0.024,0.005
Halliburton,0.01,0.021
54,0.006,0.005
attackers,0.106,0.118
Li,0.074,0.093
en,0.006,0.036
route,0.016,0.012
attendees,0.01,0.022
customer,0.012,0.013
biased,0.013,0.002
collapse,0.015,0.025
mission,0.045,0.027
elected,0.015,0.118
pages,0.02,0.024
obviously,0.013,0.03
surrounding,0.044,0.113
debt,0.009,0.012
advised,0.018,0.014
conduct,0.093,0.151
blacks,0.018,0.027
Brain,0.0,0.014
choice,0.017,0.005
elect,0.009,0.005
liked,0.003,0.031
intervention,0.048,0.037
represented,0.067,0.108
Real,0.011,0.021
Estate,0.013,0.025
Home,0.156,0.145
busy,0.109,0.211
inmates,0.017,0.033
unveiled,0.052,0.103
Great,0.007,0.009
tea,0.017,0.025
landmark,0.013,0.036
dramatically,0.038,0.054
eastern,0.047,0.04
Pakistan,0.023,0.022
typical,0.042,0.119
employee,0.011,0.014
gone,0.003,0.009
Hit,0.016,0.045
priority,0.009,0.013
Stocks,0.053,0.068
profits,0.014,0.024
topple,0.0,0.039
friendly,0.069,0.094
ultimate,0.064,0.083
terror,0.012,0.02
dump,0.139,0.283
Cleveland,0.03,0.047
Islands,0.073,0.037
confiscate,0.066,0.09
climb,0.026,0.059
Murder,0.001,0.002
sworn,0.02,0.01
Watch,0.045,0.025
Thirty,0.021,0.011
Series,0.014,0.008
Lance,0.039,0.052
survives,0.006,0.017
Anthony,0.029,0.011
disperse,0.008,0.016
Common,0.147,0.209
shots,0.055,0.045
selection,0.028,0.036
Grey,0.011,0.019
unique,0.015,0.05
deadline,0.019,0.028
Arizona,0.011,0.007
Prime,0.048,0.058
Ariel,0.051,0.054
safe,0.028,0.032
cap,0.077,0.084
finance,0.033,0.012
generation,0.019,0.027
adhere,0.006,0.006
flights,0.029,0.024
valid,0.026,0.03
Mugabe,0.005,0.011
negotiate,0.022,0.088
Zimbabwe,0.004,0.006
controversial,0.017,0.02
passes,0.014,0.01
enforce,0.004,0.011
acceptable,0.003,0.005
Argentina,0.016,0.026
cemetery,0.009,0.012
audience,0.048,0.039
journal,0.018,0.053
traditional,0.013,0.024
resolutions,0.008,0.034
binding,0.056,0.099
tagged,0.031,0.018
Child,0.068,0.097
Act,0.021,0.013
disputed,0.034,0.073
violence,0.035,0.035
concentrate,0.032,0.061
creating,0.005,0.005
Agreement,0.042,0.069
loans,0.048,0.06
meets,0.046,0.054
Legal,0.249,0.153
Military,0.02,0.012
Point,0.051,0.039
involvement,0.018,0.034
northeast,0.002,0.062
humans,0.014,0.022
Direct,0.002,0.027
Veteran,0.005,0.02
100th,0.027,0.024
carrier,0.045,0.052
participants,0.01,0.039
quotes,0.006,0.017
bachelor,0.111,0.172
91,0.037,0.027
Best,0.049,0.015
Your,0.005,0.009
withdrawal,0.01,0.008
introduce,0.015,0.013
116,0.059,0.017
Archbishop,0.006,0.029
Oil,0.043,0.035
houses,0.015,0.013
homeless,0.011,0.032
94,0.147,0.086
joint,0.035,0.03
sun,0.067,0.026
Stage,0.041,0.02
complaint,0.019,0.019
managers,0.01,0.029
propose,0.17,0.18
creditors,0.033,0.024
Gonzales,0.02,0.004
laid,0.053,0.078
tracks,0.025,0.03
brought,0.001,0.019
identification,0.052,0.038
dealing,0.076,0.123
wins,0.033,0.033
heard,0.014,0.012
Leaving,0.01,0.06
fee,0.043,0.009
suggest,0.005,0.007
Venezuela,0.008,0.025
stated,0.019,0.024
greater,0.061,0.085
defending,0.002,0.023
conclude,0.079,0.088
Columbus,0.004,0.004
procedures,0.098,0.169
Strong,0.09,0.137
satisfactory,0.081,0.11
Ray,0.031,0.024
Marsh,0.016,0.009
false,0.02,0.031
flag,0.053,0.027
Capitol,0.017,0.011
wing,0.013,0.009
Mad,0.004,0.002
expensive,0.02,0.011
alternative,0.027,0.052
corruption,0.016,0.016
II,0.026,0.034
always,0.005,0.007
divisive,0.03,0.057
Yahoo,0.008,0.005
Space,0.028,0.078
CNN,0.021,0.026
programming,0.02,0.007
ratings,0.005,0.039
Fire,0.031,0.037
Ortega,0.064,0.105
club,0.073,0.079
admits,0.049,0.029
attendant,0.006,0.025
guard,0.04,0.026
Mediterranean,0.007,0.033
Time,0.017,0.02
Person,0.014,0.071
bell,0.034,0.011
weak,0.008,0.008
Bangkok,0.005,0.016
coordinating,0.011,0.091
Care,0.033,0.027
Texans,0.029,0.039
finally,0.074,0.258
Relief,0.044,0.025
sight,0.17,0.257
fuel,0.016,0.006
purse,0.011,0.001
ticket,0.011,0.025
Millions,0.193,0.175
draft,0.021,0.037
worse,0.046,0.055
Belgian,0.003,0.007
Until,0.022,0.08
oriented,0.006,0.012
organising,0.05,0.118
double,0.085,0.152
elimination,0.075,0.101
arrives,0.01,0.007
drag,0.028,0.092
damages,0.165,0.179
gang,0.017,0.025
extraordinary,0.095,0.089
everybody,0.102,0.225
stroke,0.026,0.023
LA,0.016,0.091
D.C.,0.048,0.019
scientists,0.002,0.013
Prison,0.028,0.009
confusion,0.007,0.01
Named,0.025,0.076
convention,0.011,0.019
respect,0.027,0.024
dirty,0.005,0.009
N.,0.07,0.095
Conner,0.063,0.062
Parents,0.011,0.041
quit,0.014,0.085
outline,0.094,0.049
compensatory,0.001,0.006
sustainable,0.098,0.154
shown,0.031,0.027
trafficking,0.033,0.03
mostly,0.008,0.01
batters,0.014,0.045
Niger,0.001,0.005
dossier,0.053,0.053
Not,0.024,0.008
Desert,0.039,0.032
parked,0.048,0.049
pill,0.013,0.008
How,0.038,0.02
retain,0.005,0.009
offset,0.035,0.085
shelf,0.008,0.08
Berlusconi,0.031,0.03
German,0.004,0.009
Nazi,0.022,0.038
concentration,0.068,0.128
remarks,0.014,0.03
Update,0.048,0.048
update,0.08,0.085
deployment,0.085,0.073
refer,0.01,0.008
ease,0.059,0.085
engineering,0.022,0.009
strategy,0.033,0.013
creation,0.137,0.134
technical,0.008,0.011
bankruptcy,0.036,0.056
simultaneously,0.116,0.184
3rd,0.018,0.057
Combat,0.014,0.011
Team,0.032,0.125
orders,0.018,0.034
wound,0.012,0.016
Hospitals,0.024,0.017
minimum,0.019,0.015
hay,0.03,0.044
glasses,0.026,0.022
dives,0.028,0.011
diving,0.052,0.045
leak,0.053,0.091
log,0.003,0.009
bicycles,0.003,0.011
pasture,0.008,0.007
lemons,0.053,0.029
stairs,0.194,0.143
drives,0.021,0.03
bunch,0.018,0.014
thinking,0.006,0.004
addresses,0.007,0.015
tub,0.004,0.0
bathtub,0.041,0.036
swings,0.012,0.018
fan,0.011,0.02
removing,0.022,0.005
email,0.008,0.006
skateboarder,0.017,0.015
stone,0.014,0.018
bag,0.039,0.014
cake,0.01,0.004
bowling,0.018,0.03
blowing,0.01,0.02
duck,0.014,0.008
perched,0.018,0.024
lifts,0.012,0.062
refrigerator,0.02,0.004
brush,0.01,0.004
freeze,0.162,0.152
bags,0.06,0.028
moon,0.012,0.004
mud,0.006,0.009
sheet,0.077,0.064
beef,0.08,0.128
wheel,0.045,0.03
paws,0.003,0.009
pink,0.033,0.065
karate,0.007,0.01
seeds,0.018,0.006
lid,0.004,0.012
closes,0.012,0.01
models,0.015,0.014
bird,0.041,0.036
places,0.012,0.012
lifestyle,0.04,0.056
contents,0.027,0.013
taxi,0.008,0.008
mug,0.002,0.001
Rocky,0.025,0.073
fridge,0.011,0.003
drinks,0.028,0.029
sand,0.081,0.055
catching,0.009,0.009
rises,0.063,0.064
yard,0.098,0.038
speaks,0.011,0.004
colored,0.011,0.01
inflatable,0.001,0.011
gloved,0.036,0.016
draws,0.023,0.012
Nigeria,0.005,0.004
Chevron,0.018,0.044
Ijaw,0.168,0.092
instigating,0.002,0.004
paying,0.062,0.229
Warri,0.083,0.085
naval,0.061,0.087
encourage,0.034,0.045
slaughter,0.005,0.016
principle,0.025,0.03
implemented,0.005,0.006
arbitrarily,0.008,0.035
tyranny,0.024,0.016
innovative,0.06,0.149
flexibility,0.044,0.069
declaration,0.062,0.112
perspective,0.027,0.019
Interinstitutional,0.037,0.001
compensated,0.043,0.021
framework,0.032,0.065
equitable,0.005,0.011
definitions,0.006,0.006
Member,0.006,0.007
perfectly,0.102,0.1
fair,0.013,0.036
sufficient,0.018,0.047
honestly,0.056,0.14
genuinely,0.003,0.016
activate,0.013,0.009
coordinate,0.035,0.088
centres,0.016,0.036
excellence,0.05,0.057
coordination,0.032,0.084
behalf,0.094,0.062
Fisheries,0.009,0.018
Madam,0.031,0.026
s,0.029,0.026
condolences,0.005,0.151
Brittany,0.068,0.085
Marín,0.01,0.042
Galicia,0.001,0.016
condolence,0.009,0.037
Tunisian,0.112,0.182
denies,0.025,0.064
striving,0.188,0.184
provisional,0.04,0.044
funding,0.024,0.03
mine,0.004,0.005
clearance,0.032,0.046
prevention,0.042,0.035
programmes,0.024,0.017
viewpoint,0.241,0.335
illustrated,0.058,0.054
rapporteur,0.007,0.004
codes,0.002,0.009
insurers,0.002,0.002
guaranteed,0.069,0.246
discriminatory,0.002,0.017
guaranteeing,0.006,0.021
levied,0.076,0.077
recipient,0.037,0.098
perceived,0.015,0.043
Community,0.035,0.04
Clearly,0.006,0.017
incidence,0.041,0.053
BSE,0.058,0.011
handbook,0.046,0.048
requests,0.084,0.171
MEPs,0.004,0.005
gentlemen,0.062,0.049
Charter,0.076,0.05
Fundamental,0.179,0.366
Rights,0.014,0.014
eventual,0.002,0.006
Treaty,0.05,0.037
Nice,0.014,0.018
treaty,0.029,0.024
odd,0.188,0.233
optional,0.003,0.008
schemes,0.02,0.014
strange,0.053,0.104
generating,0.084,0.109
links,0.027,0.032
magnificent,0.512,0.587
neighbourly,0.001,0.032
Morocco,0.02,0.034
remarkably,0.054,0.001
existed,0.047,0.124
Presidency,0.023,0.017
utmost,0.024,0.053
destructive,0.067,0.046
Reiterating,0.001,0.038
initiatives,0.084,0.12
guarantee,0.015,0.025
ensure,0.012,0.018
democracies,0.056,0.025
restriction,0.231,0.204
Lalumière,0.015,0.021
worded,0.002,0.003
shall,0.008,0.005
formulated,0.067,0.12
Human,0.037,0.033
wealth,0.097,0.161
supervision,0.007,0.025
Prague,0.04,0.075
era,0.109,0.079
consigned,0.001,0.005
relics,0.014,0.04
urgency,0.024,0.01
complement,0.118,0.169
Interdepartmental,0.043,0.047
Secretariat,0.071,0.063
strengthened,0.082,0.188
earliest,0.012,0.006
proposals,0.051,0.074
Commissioners,0.001,0.001
299(2,0.003,0.016
simplified,0.012,0.003
outlining,0.262,0.318
Therefore,0.072,0.042
urgent,0.027,0.03
reinforced,0.056,0.059
299,0.006,0.023
withdrawing,0.002,0.013
topics,0.057,0.127
Intergovernmental,0.025,0.067
embraces,0.114,0.302
agenda,0.047,0.061
convinced,0.02,0.051
context,0.028,0.034
enlargement,0.002,0.001
Firstly,0.012,0.017
simplification,0.02,0.022
clarification,0.003,0.003
Treaties,0.002,0.003
Thus,0.028,0.033
totally,0.04,0.063
worst,0.019,0.035
desperation,0.055,0.141
deeds,0.002,0.005
merely,0.091,0.158
advocated,0.011,0.024
defended,0.006,0.016
Whilst,0.208,0.087
fisheries,0.02,0.018
sidelines,0.006,0.002
Lastly,0.065,0.096
controversially,0.004,0.004
Finally,0.091,0.088
strengthening,0.009,0.03
grams,0.024,0.036
Gayssot,0.005,0.024
Greek,0.009,0.018
ships,0.009,0.017
sunk,0.055,0.055
storms,0.044,0.059
vicinity,0.127,0.137
spends,0.015,0.133
GDP,0.053,0.093
administered,0.06,0.127
Nevertheless,0.03,0.01
Labour,0.079,0.17
PES,0.001,0.007
adoption,0.041,0.09
IGC,0.018,0.032
endorsing,0.186,0.161
reserved,0.003,0.015
objectives,0.004,0.013
touchstone,0.014,0.035
accession,0.084,0.158
reservations,0.024,0.048
recognition,0.067,0.113
promoting,0.028,0.025
demonstrate,0.01,0.033
Kostunica,0.011,0.001
lawfully,0.007,0.007
Serbian,0.014,0.044
illicit,0.018,0.048
decent,0.033,0.05
undeclared,0.039,0.166
reconciliation,0.083,0.095
courageously,0.03,0.061
universities,0.034,0.027
unlikely,0.13,0.182
universal,0.047,0.108
ploughed,0.001,0.006
maintenance,0.044,0.071
labelling,0.001,0.001
origin,0.105,0.179
adequately,0.114,0.107
traced,0.001,0.007
trace,0.033,0.02
disagreeable,0.009,0.018
WTO,0.053,0.077
enables,0.004,0.005
gratifying,0.003,0.001
succeeded,0.046,0.168
favour,0.139,0.111
openness,0.009,0.003
transparency,0.018,0.014
Himara,0.008,0.038
democratisation,0.022,0.006
Albania,0.006,0.016
incidents,0.021,0.018
imperative,0.032,0.042
amnesty,0.027,0.062
meanwhile,0.002,0.114
reconstruction,0.016,0.012
budgetary,0.005,0.02
meantime,0.061,0.006
namely,0.015,0.025
pillar,0.039,0.078
reinforces,0.038,0.173
equality,0.023,0.033
mainstreaming,0.046,0.055
Knowledge,0.009,0.015
languages,0.024,0.029
precursor,0.009,0.053
mobility,0.005,0.029
lesson,0.188,0.247
maritime,0.064,0.044
shambles,0.002,0.007
restructured,0.014,0.043
scrapped,0.004,0.001
Equality,0.049,0.004
presidency,0.046,0.032
dismantled,0.004,0.007
oral,0.184,0.111
ES,0.006,0.015
continent,0.039,0.051
plain,0.066,0.085
warm,0.081,0.159
thank,0.004,0.012
mess,0.072,0.098
Secondly,0.06,0.04
bang,0.04,0.042
incorporating,0.065,0.106
militate,0.001,0.016
merits,0.005,0.002
contradiction,0.052,0.065
odds,0.034,0.033
Worst,0.079,0.037
comforting,0.068,0.05
Auditors,0.022,0.013
chapter,0.029,0.057
shameful,0.216,0.248
modernised,0.003,0.004
practice,0.078,0.075
disgrace,0.007,0.003
modernisation,0.026,0.016
Slovakia,0.009,0.005
condemned,0.074,0.144
Czech,0.038,0.037
wishes,0.034,0.018
arrangements,0.074,0.059
Preparatory,0.001,0.017
registration,0.099,0.143
preparatory,0.033,0.038
Session,0.382,0.286
provisions,0.044,0.04
accreditation,0.023,0.019
destined,0.003,0.007
tabled,0.138,0.111
dependent,0.04,0.036
Affairs,0.022,0.031
rightly,0.099,0.182
insists,0.009,0.043
refusal,0.112,0.071
prohibited,0.032,0.016
accordance,0.022,0.04
listened,0.031,0.053
Exchequer,0.005,0.005
portrayed,0.091,0.148
lorry,0.11,0.123
drivers,0.036,0.06
Faced,0.019,0.02
vehicles,0.046,0.035
loan,0.011,0.032
guarantees,0.047,0.142
funded,0.059,0.136
decreases,0.014,0.008
equally,0.005,0.05
recreational,0.038,0.004
consuming,0.014,0.004
récréationnelles,0.012,0.002
preparation,0.047,0.173
Applause,0.006,0.022
answered,0.011,0.01
considerably,0.024,0.033
enabling,0.015,0.013
presented,0.08,0.061
freedoms,0.089,0.109
efficiency,0.047,0.051
effectiveness,0.024,0.052
Action,0.154,0.181
faint,0.165,0.161
hearted,0.002,0.026
replied,0.02,0.023
repeat,0.028,0.048
inescapable,0.009,0.027
poverty,0.06,0.041
underdevelopment,0.014,0.005
realities,0.057,0.03
curiously,0.003,0.023
attracted,0.003,0.002
B5,0.036,0.022
0794/2000,0.057,0.047
Medina,0.071,0.064
Linkohr,0.072,0.035
Fava,0.015,0.017
Socialists,0.064,0.069
kidnap,0.114,0.168
Jesuit,0.009,0.035
guerillas,0.0,0.0
0794,0.061,0.106
Declarations,0.004,0.024
proceeds,0.107,0.21
category,0.108,0.202
partly,0.03,0.048
refuses,0.028,0.035
Approval,0.001,0.001
Minutes,0.01,0.001
Thirdly,0.051,0.022
prospects,0.015,0.056
Denmark,0.116,0.082
demonstrated,0.079,0.005
dismantling,0.005,0.023
deficits,0.013,0.032
Summit,0.073,0.067
resumed,0.07,0.082
Question,0.023,0.026
H-0886/00,0.06,0.111
asks,0.022,0.021
neighbourhood,0.012,0.01
thoughts,0.026,0.043
ethics,0.024,0.003
Do,0.108,0.071
Austrian,0.042,0.057
i.e.,0.012,0.05
passing,0.037,0.087
bypass,0.019,0.145
circumvent,0.032,0.01
ignoring,0.036,0.139
affirmation,0.052,0.047
choices,0.002,0.007
presents,0.005,0.005
excellent,0.134,0.146
exemplary,0.038,0.037
Karamanou,0.036,0.014
Citizens,0.098,0.057
Freedoms,0.004,0.003
scientific,0.032,0.037
Feira,0.015,0.011
participating,0.005,0.012
Stabilisation,0.034,0.002
Process,0.169,0.287
applicants,0.001,0.001
stabilisation,0.045,0.069
disorder,0.101,0.037
maintaining,0.131,0.167
knocking,0.041,0.061
fold,0.154,0.294
respectable,0.013,0.002
protected,0.007,0.029
topic,0.006,0.009
Serbia,0.009,0.019
Yugoslavia,0.011,0.009
recognising,0.012,0.013
Furthermore,0.064,0.147
Policy,0.146,0.203
Brok,0.014,0.016
comprehensive,0.002,0.013
García,0.104,0.131
Margallo,0.029,0.046
y,0.113,0.311
Marfil,0.1,0.152
commerce,0.002,0.001
concerns,0.027,0.015
exchanges,0.006,0.001
emerges,0.001,0.021
struggle,0.036,0.021
foreigners,0.013,0.022
secretariat,0.005,0.006
satisfy,0.042,0.11
persists,0.018,0.004
borrowed,0.001,0.002
welcomes,0.014,0.01
shame,0.119,0.104
organize,0.028,0.011
borders,0.03,0.046
relates,0.015,0.084
Everyone,0.036,0.023
describe,0.023,0.026
Plan,0.038,0.022
advocating,0.018,0.015
upward,0.024,0.004
op,0.023,0.012
preserving,0.116,0.169
protecting,0.011,0.051
decreasing,0.074,0.091
reducing,0.086,0.061
foremost,0.087,0.051
Advance,0.134,0.116
channel,0.003,0.015
Cut,0.018,0.002
projecting,0.015,0.014
excluded,0.095,0.106
rotating,0.037,0.083
printed,0.008,0.033
eject,0.075,0.204
phlegm,0.002,0.004
sputum,0.047,0.018
expel,0.053,0.018
describing,0.007,0.003
explanation,0.009,0.002
blocking,0.055,0.037
distinctive,0.006,0.018
clothing,0.035,0.017
odor,0.111,0.097
adopt,0.009,0.016
dividing,0.052,0.067
concealing,0.078,0.028
appearance,0.028,0.016
bestow,0.005,0.0
liberating,0.004,0.004
scent,0.169,0.194
sharing,0.058,0.062
boundary,0.005,0.001
destination,0.012,0.045
rending,0.049,0.056
ripping,0.116,0.124
load,0.017,0.009
evident,0.002,0.0
deceive,0.001,0.005
primer,0.01,0.037
reasoning,0.075,0.056
disagreement,0.005,0.001
examining,0.116,0.122
assessing,0.001,0.027
retreat,0.034,0.023
intentionally,0.043,0.064
omitting,0.009,0.009
splitting,0.005,0.018
incline,0.082,0.105
relatively,0.016,0.01
dress,0.031,0.09
ineffective,0.01,0.007
touches,0.059,0.051
novel,0.023,0.028
stopping,0.049,0.023
establishing,0.086,0.039
worthy,0.014,0.006
entities,0.022,0.022
prisoner,0.019,0.027
explaining,0.074,0.026
designating,0.06,0.053
Reduce,0.101,0.107
grinding,0.035,0.1
bombs,0.033,0.026
apparent,0.069,0.037
tense,0.009,0.005
lure,0.006,0.04
shield,0.011,0.045
guess,0.019,0.014
design,0.022,0.019
cluster,0.06,0.158
magnitude,0.044,0.094
snipping,0.02,0.049
substituting,0.005,0.008
obligations,0.028,0.013
curious,0.123,0.136
check,0.024,0.018
pinching,0.01,0.026
newspapers,0.162,0.152
comfortable,0.017,0.017
cozy,0.051,0.06
coffee,0.008,0.008
torture,0.044,0.028
unable,0.01,0.006
perceiving,0.01,0.014
fashion,0.014,0.015
theory,0.026,0.033
tend,0.01,0.006
Place,0.1,0.079
Go,0.008,0.005
disguising,0.015,0.016
colliding,0.052,0.089
Have,0.096,0.001
experiencer,0.01,0.016
correct,0.017,0.02
stating,0.014,0.031
buses,0.02,0.071
mentioned,0.039,0.036
lus,0.011,0.011
evaluated,0.015,0.014
prototype,0.008,0.035
domain,0.03,0.026
describes,0.025,0.024
perceiver,0.002,0.005
linguistic,0.004,0.006
symbolic,0.033,0.117
time_of_creation,0.007,0.031
attempts,0.018,0.018
denote,0.011,0.017
birth,0.016,0.011
cognizer,0.002,0.005
residents,0.011,0.018
formal_realization,0.0,0.009
nouns,0.05,0.028
alternatively,0.008,0.008
phrase,0.01,0.006
denoting,0.012,0.002
aggregates,0.0,0.011
repair,0.052,0.13
attributes,0.007,0.006
fe,0.019,0.016
mention,0.004,0.003
king,0.02,0.031
leadership,0.016,0.014
verb,0.017,0.001
reaching,0.003,0.018
employer,0.017,0.012
trajectory,0.021,0.013
addressee,0.015,0.006
degrees,0.033,0.011
agreeable,0.043,0.084
distance,0.019,0.017
permanent,0.007,0.029
semi,0.014,0.054
external,0.002,0.007
capable,0.016,0.019
ear,0.032,0.029
lexical,0.028,0.037
state_of_affairs,0.001,0.022
background,0.131,0.064
types,0.009,0.083
noun,0.011,0.005
prize,0.092,0.073
artifact,0.014,0.034
deliberately,0.003,0.019
intelligent,0.012,0.048
validity,0.019,0.013
certainty,0.07,0.019
reader,0.027,0.01
creates,0.018,0.023
fixed,0.045,0.044
plural,0.024,0.006
and/or,0.003,0.001
phrases,0.014,0.025
interesting,0.029,0.018
comparison,0.023,0.043
virtue,0.008,0.063
organic,0.006,0.0
refers,0.013,0.003
combine,0.042,0.033
artwork,0.001,0.003
score,0.038,0.038
Suspected,0.058,0.067
dismisses,0.018,0.003
govt,0.01,0.004
Explosion,0.079,0.06
Homs,0.014,0.022
Assad,0.03,0.034
cities,0.007,0.033
NATO,0.011,0.026
Soldier,0.087,0.086
Killed,0.013,0.027
Afghan,0.003,0.004
Attack,0.019,0.027
spy,0.02,0.031
warns,0.01,0.014
boss,0.017,0.023
bomber,0.156,0.075
kills,0.031,0.04
Damascus,0.027,0.044
bombing,0.042,0.034
Sachin,0.015,0.027
Tendulkar,0.035,0.05
Tropical,0.009,0.039
PM,0.036,0.036
Obama,0.024,0.03
Philippines,0.003,0.008
calm,0.05,0.053
Teenager,0.031,0.019
Turkey,0.005,0.006
Netanyahu,0.032,0.022
Greece,0.016,0.02
Wins,0.019,0.03
Presidential,0.03,0.048
Election,0.007,0.005
Polls,0.168,0.203
Suicide,0.11,0.103
NW,0.033,0.022
quits,0.013,0.005
Assange,0.005,0.016
Plans,0.027,0.008
Annan,0.011,0.027
Olympics,0.015,0.016
activist,0.045,0.039
promises,0.027,0.019
Storm,0.034,0.077
Isaac,0.019,0.007
jobless,0.024,0.026
stays,0.021,0.036
rockets,0.058,0.077
Arrested,0.015,0.016
Savile,0.034,0.021
Probe,0.009,0.033
Romney,0.042,0.046
Troops,0.08,0.074
marine,0.042,0.015
policeman,0.032,0.017
Coptic,0.014,0.016
Pope,0.047,0.046
Confirms,0.015,0.033
Death,0.129,0.136
confirms,0.022,0.045
Mali,0.005,0.005
asylum,0.023,0.014
seekers,0.054,0.079
monitors,0.029,0.019
Gunman,0.018,0.021
Orleans,0.077,0.02
Nuclear,0.014,0.011
mourns,0.01,0.014
flock,0.027,0.068
Middle,0.032,0.017
Jet,0.057,0.05
Crashes,0.017,0.034
Into,0.018,0.03
Apartment,0.028,0.004
dies,0.048,0.038
collapses,0.044,0.03
toll,0.038,0.048
Congo,0.008,0.006
Dead,0.03,0.022
Arms,0.041,0.025
Blasts,0.088,0.111
Journalists,0.008,0.004
Secret,0.042,0.016
Morsi,0.014,0.015
Mandela,0.039,0.015
sectarian,0.061,0.151
clashes,0.043,0.039
Lebanon,0.04,0.023
Gains,0.022,0.096
Raises,0.015,0.001
Over,0.011,0.021
seeks,0.016,0.011
refugees,0.024,0.04
quake,0.048,0.053
USGS,0.003,0.012
hunger,0.011,0.01
striker,0.008,0.008
Hezbollah,0.009,0.012
drone,0.026,0.06
captures,0.068,0.072
Doctor,0.017,0.026
Murray,0.004,0.018
v,0.043,0.087
Opening,0.006,0.003
quakes,0.118,0.179
Case,0.022,0.03
NY,0.028,0.023
strengthens,0.105,0.189
nears,0.024,0.018
pct,0.018,0.057
Cyprus,0.01,0.02
defects,0.051,0.044
riots,0.025,0.028
massacre,0.008,0.016
Islamists,0.031,0.054
Militants,0.021,0.017
stolen,0.023,0.047
resigns,0.054,0.041
airstrikes,0.027,0.057
condemns,0.014,0.031
Coast,0.022,0.035
Sarkozy,0.007,0.009
Must,0.069,0.047
Reads,0.013,0.036
2012,0.004,0.008
Tel,0.022,0.016
Aviv,0.01,0.004
Senior,0.007,0.003
urges,0.018,0.013
Timor,0.076,0.034
tells,0.016,0.011
Kills,0.038,0.048
Least,0.019,0.028
wedding,0.005,0.017
Plane,0.025,0.03
Erdogan,0.028,0.036
Somalia,0.017,0.01
teachers,0.004,0.011
poses,0.042,0.061
2013,0.025,0.021
Found,0.01,0.015
Crash,0.018,0.017
truce,0.016,0.012
prostitution,0.024,0.028
yuan,0.005,0.01
USD,0.034,0.043
Tibetan,0.021,0.04
Mumbai,0.009,0.03
2nd,0.012,0.016
teen,0.026,0.036
Attacks,0.049,0.068
Activist,0.055,0.027
Lebanese,0.008,0.007
tank,0.051,0.037
Aleppo,0.007,0.003
Syrians,0.012,0.018
braces,0.024,0.011
approves,0.011,0.012
Breivik,0.012,0.019
Fear,0.023,0.015
Trial,0.02,0.031
Hollande,0.063,0.07
Libyan,0.002,0.015
Kenya,0.006,0.011
unrest,0.048,0.053
Down,0.017,0.014
Dies,0.078,0.062
Bangladesh,0.014,0.046
Muslims,0.025,0.033
Drone,0.013,0.014
Cairo,0.016,0.023
Low,0.01,0.002
Girl,0.04,0.018
caucuses,0.03,0.005
rejects,0.019,0.015
Algerian,0.007,0.008
Blast,0.049,0.04
Bomb,0.008,0.005
Nadal,0.004,0.002
uk,0.04,0.057
Istanbul,0.003,0.01
silent,0.033,0.073
flee,0.005,0.007
extradition,0.033,0.027
jolts,0.024,0.031
Gunmen,0.04,0.033
Clash,0.057,0.063
Crisis,0.01,0.009
Waziristan,0.006,0.035
Victory,0.056,0.124
Protests,0.05,0.075
pact,0.027,0.024
Set,0.018,0.011
Eurozone,0.003,0.003
absolute,0.054,0.097
clash,0.056,0.051
Strauss,0.006,0.001
End,0.104,0.046
embassy,0.028,0.032
AP,0.058,0.006
roads,0.03,0.035
Russians,0.004,0.026
Amid,0.017,0.035
endorses,0.01,0.003
Iranian,0.035,0.065
tourists,0.041,0.051
Senator,0.003,0.01
Neil,0.104,0.151
Mitt,0.017,0.062
SW,0.008,0.008
Santorum,0.02,0.024
Opens,0.055,0.07
Sail,0.095,0.065
highlights,0.043,0.096
hostage,0.015,0.036
acquitted,0.012,0.011
Airlines,0.037,0.045
pledges,0.015,0.009
Front,0.044,0.018
Bradley,0.002,0.004
upholds,0.011,0.019
sentences,0.025,0.032
Ghana,0.001,0.01
Ends,0.019,0.017
bailout,0.01,0.017
agrees,0.032,0.039
Haiti,0.011,0.012
Proposal,0.055,0.098
Talks,0.029,0.04
2007,0.039,0.059
Anti,0.007,0.019
Film,0.012,0.011
Documents,0.019,0.021
airstrike,0.017,0.034
Sri,0.016,0.007
Lanka,0.035,0.013
Urges,0.007,0.015
Sudan,0.006,0.009
B,0.016,0.015
Dozens,0.023,0.011
Holmes,0.024,0.016
accuses,0.036,0.047
evacuation,0.038,0.036
Pussy,0.018,0.013
Riot,0.031,0.019
Warns,0.009,0.025
renews,0.005,0.009
Rape,0.031,0.029
Iron,0.013,0.008
ink,0.001,0.01
Mursi,0.004,0.024
Kill,0.013,0.042
pleads,0.042,0.029
Djokovic,0.0,0.01
golden,0.007,0.008
fiction,0.014,0.013
writer,0.008,0.011
M,0.008,0.01
Osama,0.007,0.003
Bin,0.001,0.019
Laden,0.072,0.039
historic,0.03,0.02
pilot,0.02,0.051
insane,0.0,0.137
Sex,0.011,0.019
Scores,0.018,0.031
Eight,0.012,0.013
floods,0.033,0.046
farm,0.029,0.004
Focus,0.022,0.011
Heavy,0.022,0.025
dilemma,0.064,0.037
FM,0.037,0.03
rescued,0.017,0.039
