word,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12
Yahoo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Space,0.297,0.988,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.993,0.947
CNN,0.253,0.986,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.996,0.993,0.877
programming,0.049,0.047,0.095,0.044,0.078,0.05,0.029,0.025,0.031,0.017,0.07,0.614
ratings,0.096,0.072,0.075,0.067,0.032,0.009,0.033,0.04,0.043,0.035,0.062,0.632
Fire,0.728,0.99,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.997,0.994,0.965
Ortega,0.082,0.034,0.037,0.034,0.003,0.02,0.044,0.059,0.039,0.014,0.043,0.8
club,0.003,0.983,0.999,0.998,0.998,0.998,0.997,0.996,0.995,0.993,0.982,0.884
admits,0.057,0.024,0.044,0.049,0.068,0.022,0.029,0.048,0.098,0.091,0.224,0.288
attendant,0.034,0.002,0.011,0.001,0.009,0.002,0.019,0.027,0.037,0.057,0.096,0.684
guard,0.012,0.01,0.005,0.003,0.004,0.006,0.009,0.013,0.008,0.005,0.016,0.647
Mediterranean,0.054,0.012,0.02,0.007,0.014,0.011,0.016,0.037,0.032,0.011,0.017,0.577
